"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.100741810E2,4.000798613E-2,5.109508634E-1,-1.958313398E-2
1.100940720E2,3.903583065E-2,5.008530617E-1,-2.000882663E-2
1.101139620E2,3.911307827E-2,4.876306057E-1,-1.899751276E-2
1.101338530E2,3.971157596E-2,4.738463163E-1,-1.716658287E-2
1.101537440E2,3.686256707E-2,4.569426179E-1,-1.374664623E-2
1.101736350E2,3.517048806E-2,4.346846342E-1,-1.299158111E-2
1.101935250E2,3.479116410E-2,4.124398828E-1,-1.084140409E-2
1.102134155E2,3.307418153E-2,3.881648779E-1,-1.108399406E-2
1.102333065E2,3.226914257E-2,3.630051613E-1,-7.998339832E-3
1.102531965E2,3.114369698E-2,3.316183984E-1,-5.895984825E-3
1.102730875E2,2.756449953E-2,3.019144237E-1,-3.429696430E-3
1.102929785E2,2.608758770E-2,2.706272602E-1,-1.660681097E-3
1.103128695E2,2.524785697E-2,2.353917658E-1,1.059764996E-3
1.103327595E2,2.236507460E-2,2.009488493E-1,2.712653484E-3
1.103526505E2,1.903492399E-2,1.678435653E-1,6.413683295E-3
1.103725415E2,1.671419665E-2,1.268512756E-1,9.456916712E-3
1.103924315E2,1.400691643E-2,8.821921051E-2,1.054175291E-2
1.104123225E2,1.248603873E-2,5.037398636E-2,1.180391014E-2
1.104322135E2,9.848656133E-3,1.241339371E-2,1.430506632E-2
1.104521045E2,8.651925251E-3,-2.674342133E-2,1.564895734E-2
1.104719945E2,5.749829579E-3,-6.668642163E-2,1.723091677E-2
1.104918855E2,3.967030207E-4,-1.040173769E-1,1.769303344E-2
1.105117765E2,-2.601791639E-3,-1.419012845E-1,1.840046607E-2
1.105316665E2,-5.464597605E-3,-1.797872335E-1,1.989189349E-2
1.105515575E2,-8.375659585E-3,-2.138602287E-1,1.940691099E-2
1.105714485E2,-1.078440063E-2,-2.484974563E-1,1.886142790E-2
1.105913395E2,-1.115111541E-2,-2.833389044E-1,1.737611368E-2
1.106112295E2,-1.678654924E-2,-3.131760955E-1,1.735435054E-2
1.106311205E2,-1.992202178E-2,-3.430759907E-1,1.676662639E-2
1.106510115E2,-2.151397616E-2,-3.722818792E-1,1.515435148E-2
1.106709015E2,-2.456772327E-2,-3.981429338E-1,1.427736506E-2
1.106907925E2,-2.878661640E-2,-4.207594395E-1,1.194170676E-2
1.107106835E2,-2.903944068E-2,-4.414034784E-1,1.014500856E-2
1.107305745E2,-2.905039862E-2,-4.634559155E-1,9.762798436E-3
1.107504645E2,-3.351461887E-2,-4.766247571E-1,6.996954791E-3
1.107703555E2,-3.266138583E-2,-4.903897643E-1,7.093457505E-3
1.107902465E2,-3.260137141E-2,-5.057201982E-1,4.929503892E-3
1.108101365E2,-3.681626543E-2,-5.103868246E-1,1.269385917E-3
1.108300275E2,-3.935527802E-2,-5.137975812E-1,2.250258112E-3
1.108499185E2,-3.563959897E-2,-5.200983882E-1,1.275249524E-3
1.108698085E2,-3.618532792E-2,-5.225006342E-1,9.029780049E-4
1.108896995E2,-3.911529109E-2,-5.151576996E-1,-3.490211209E-3
1.109095905E2,-3.732017800E-2,-5.109703541E-1,-2.553025493E-3
1.109294815E2,-3.635829315E-2,-5.038970113E-1,-3.708725329E-3
1.109493715E2,-3.716616705E-2,-4.884783328E-1,-3.993579186E-3
1.109692625E2,-3.759574518E-2,-4.731513560E-1,-4.003561102E-3
1.109891535E2,-3.311904147E-2,-4.606408775E-1,-3.643856384E-3
1.110090435E2,-3.317319602E-2,-4.415228665E-1,-4.432548303E-3
1.110289345E2,-3.387329727E-2,-4.160927236E-1,-4.240362905E-3
1.110488255E2,-2.824977413E-2,-3.945833445E-1,-3.472629935E-3
1.110687165E2,-2.773853391E-2,-3.690634668E-1,-2.280000830E-3
1.110886065E2,-2.839597687E-2,-3.365129530E-1,9.468162898E-4
1.111084975E2,-2.568244003E-2,-3.068261147E-1,-2.136889379E-4
1.111283885E2,-2.192023396E-2,-2.771247327E-1,1.912478474E-3
1.111482785E2,-2.136442810E-2,-2.422284931E-1,1.746156951E-3
1.111681695E2,-2.023787796E-2,-2.063592076E-1,4.767625593E-3
1.111880605E2,-1.369049400E-2,-1.731960326E-1,4.160089884E-3
1.112079504E2,-1.510205679E-2,-1.369995475E-1,7.087768987E-3
1.112278414E2,-1.243068743E-2,-9.191298485E-2,7.192399353E-3
1.112477324E2,-8.685788140E-3,-5.776194856E-2,9.600723162E-3
1.112676234E2,-4.623935092E-3,-1.959858462E-2,1.025346387E-2
1.112875134E2,-2.129317727E-3,2.221955732E-2,1.041302830E-2
1.113074044E2,1.608045306E-3,6.014810130E-2,1.004859153E-2
1.113272954E2,4.202003125E-3,9.442992508E-2,1.377566066E-2
1.113471854E2,6.286942400E-3,1.325843930E-1,1.075540856E-2
1.113670764E2,9.231827222E-3,1.744474024E-1,1.174133737E-2
1.113869674E2,1.167710125E-2,2.064744085E-1,1.000585034E-2
1.114068574E2,1.524794474E-2,2.411288172E-1,9.422298521E-3
1.114267484E2,1.745291427E-2,2.771343291E-1,9.326784872E-3
1.114466394E2,2.150211111E-2,3.078537881E-1,6.223842036E-3
1.114665304E2,2.323841117E-2,3.367285132E-1,5.367296748E-3
1.114864204E2,2.593685314E-2,3.677551448E-1,4.897353239E-3
1.115063114E2,2.933047898E-2,3.968018293E-1,2.259056084E-3
1.115262024E2,3.002369404E-2,4.182277024E-1,-5.871923058E-4
1.115460924E2,3.240643442E-2,4.392184019E-1,-4.431140609E-3
1.115659834E2,3.466887400E-2,4.601759911E-1,-6.671457086E-3
1.115858744E2,3.728570417E-2,4.736030996E-1,-8.366771042E-3
1.116057644E2,3.993695602E-2,4.892239869E-1,-1.172846090E-2
1.116256554E2,4.090666398E-2,5.010407567E-1,-1.267392188E-2
1.116455464E2,3.971693665E-2,5.065243840E-1,-1.653769799E-2
1.116654374E2,4.035707191E-2,5.131168962E-1,-1.728198491E-2
1.116853274E2,4.105015844E-2,5.173533559E-1,-2.136670798E-2
1.117052184E2,4.104331508E-2,5.173746347E-1,-2.078587003E-2
1.117251094E2,4.210974649E-2,5.131880641E-1,-2.290076017E-2
1.117449994E2,4.175633565E-2,5.092930794E-1,-2.442887239E-2
1.117648904E2,4.279089719E-2,5.032325983E-1,-2.664076909E-2
1.117847814E2,4.006758705E-2,4.912091792E-1,-2.808110230E-2
1.118046714E2,3.961133212E-2,4.760222435E-1,-2.673636749E-2
1.118245624E2,3.856103495E-2,4.610858858E-1,-2.843450382E-2
1.118444534E2,3.652628884E-2,4.406808317E-1,-2.560442500E-2
1.118643434E2,3.543253988E-2,4.173322022E-1,-2.559698001E-2
1.118842344E2,3.317461908E-2,3.957143724E-1,-2.510249242E-2
1.119041254E2,3.077217191E-2,3.704560995E-1,-2.194810659E-2
1.119240164E2,3.044807352E-2,3.396883905E-1,-2.087685466E-2
1.119439064E2,2.852775902E-2,3.119366765E-1,-1.806628890E-2
1.119637974E2,2.495760098E-2,2.793648839E-1,-1.741626859E-2
1.119836884E2,2.577017620E-2,2.466007769E-1,-1.313920040E-2
1.120035784E2,2.223820984E-2,2.133288831E-1,-1.102918107E-2
1.120234694E2,2.192026749E-2,1.773995459E-1,-6.724012084E-3
1.120433604E2,1.868644729E-2,1.402470171E-1,-3.948108759E-3
1.120632504E2,1.561199874E-2,1.023823768E-1,9.443916497E-4
1.120831414E2,1.226675045E-2,6.370624900E-2,2.932211384E-3
1.121030324E2,9.508959018E-3,2.553956211E-2,6.140055135E-3
1.121229224E2,6.926993374E-3,-1.433085185E-2,1.103110705E-2
1.121428134E2,5.638108589E-3,-4.869578034E-2,1.237653941E-2
1.121627044E2,3.518302226E-3,-9.069289267E-2,1.529936679E-2
1.121825954E2,-2.239700640E-3,-1.262381077E-1,1.931614056E-2
1.122024859E2,-3.746467410E-3,-1.652527899E-1,1.993661746E-2
1.122223769E2,-5.323998164E-3,-2.009347528E-1,2.288917080E-2
1.122422679E2,-7.566471118E-3,-2.353201658E-1,2.435297891E-2
1.122621579E2,-1.247871481E-2,-2.668539286E-1,2.680831403E-2
1.122820489E2,-1.435695868E-2,-2.995945811E-1,2.771911770E-2
1.123019399E2,-1.571685262E-2,-3.310392797E-1,2.749700844E-2
1.123218299E2,-2.027400956E-2,-3.600810170E-1,2.766435221E-2
1.123417209E2,-2.230778523E-2,-3.873282671E-1,2.702233568E-2
1.123616119E2,-2.260281332E-2,-4.127738774E-1,2.661350556E-2
1.123815019E2,-2.700283751E-2,-4.313381016E-1,2.650960349E-2
1.124013929E2,-2.970590629E-2,-4.515662491E-1,2.426819131E-2
1.124212839E2,-3.097148612E-2,-4.692671895E-1,2.336294949E-2
1.124411739E2,-3.253179044E-2,-4.849382043E-1,2.015660331E-2
1.124610649E2,-3.607508540E-2,-4.954213202E-1,1.978526078E-2
1.124809559E2,-3.583744168E-2,-5.044052005E-1,1.752516814E-2
1.125008469E2,-3.460354730E-2,-5.130413771E-1,1.456616260E-2
1.125207369E2,-3.765752912E-2,-5.143589973E-1,1.224758103E-2
1.125406279E2,-3.905507550E-2,-5.140140057E-1,8.814302273E-3
1.125605189E2,-3.630402684E-2,-5.147351027E-1,4.394453019E-3
1.125804089E2,-3.966470808E-2,-5.093095899E-1,4.840097856E-3
1.126002999E2,-3.945546970E-2,-5.003743768E-1,1.638505491E-4
1.126201909E2,-3.668911383E-2,-4.921860099E-1,6.954519777E-4
1.126400809E2,-3.628107533E-2,-4.798527658E-1,-3.863977501E-3
1.126599719E2,-4.058700800E-2,-4.606698155E-1,-4.731867462E-3
1.126798629E2,-3.544804081E-2,-4.442925155E-1,-6.869286764E-3
1.126997529E2,-3.108689189E-2,-4.271956086E-1,-8.574075997E-3
1.127196439E2,-3.279122710E-2,-4.002766609E-1,-9.432280436E-3
1.127395349E2,-3.146123514E-2,-3.727083504E-1,-9.754925966E-3
1.127594249E2,-2.310099639E-2,-3.487142920E-1,-9.236043319E-3
1.127793159E2,-2.499383874E-2,-3.169356287E-1,-1.030180510E-2
1.127992069E2,-2.892383747E-2,-2.819345593E-1,-1.185725257E-2
1.128190969E2,-2.084983513E-2,-2.523967326E-1,-9.675526060E-3
1.128389879E2,-1.858400926E-2,-2.222516686E-1,-8.362526074E-3
1.128588789E2,-1.803366840E-2,-1.815160364E-1,-1.080807205E-2
1.128787699E2,-1.446598023E-2,-1.458242685E-1,-7.914243266E-3
1.128986599E2,-7.064913400E-3,-1.146923155E-1,-6.287752651E-3
1.129185509E2,-1.011849381E-2,-7.230917364E-2,-5.079476163E-3
1.129384419E2,-8.976163343E-3,-2.970662899E-2,-4.621220753E-3
1.129583319E2,-1.721598441E-3,3.178546904E-3,-2.912693424E-3
1.129782229E2,-4.856111482E-4,4.238623381E-2,-2.670883900E-3
1.129981139E2,7.923104567E-5,8.510909975E-2,1.984112896E-4
1.130180039E2,4.601679742E-3,1.220216528E-1,9.965270292E-4
1.130378949E2,1.011416409E-2,1.539079994E-1,3.832658287E-3
1.130577859E2,1.090449933E-2,1.946325153E-1,1.943812240E-3
1.130776759E2,1.439492591E-2,2.322971821E-1,3.290240420E-3
1.130975669E2,1.824488677E-2,2.590591908E-1,6.052002311E-3
1.131174579E2,1.772272773E-2,2.935395241E-1,6.997890770E-3
1.131373479E2,2.163580246E-2,3.289526701E-1,6.518387701E-3
1.131572389E2,2.424702421E-2,3.525836468E-1,6.220782641E-3
1.131771299E2,2.973074280E-2,3.783397675E-1,6.475845352E-3
1.131970199E2,2.811855264E-2,4.089649320E-1,6.000138819E-3
1.132169108E2,2.960245870E-2,4.303018451E-1,4.407703876E-3
1.132368018E2,3.468914330E-2,4.452397227E-1,4.501479678E-3
1.132566918E2,3.381536528E-2,4.676536024E-1,3.085941775E-3
1.132765828E2,3.596209735E-2,4.850278795E-1,1.899867901E-3
1.132964738E2,3.859942406E-2,4.914062917E-1,-1.952592749E-3
1.133163638E2,3.926351666E-2,5.007682443E-1,-2.142207464E-3
1.133362548E2,3.884145990E-2,5.132645965E-1,-2.921018051E-3
1.133561458E2,3.962292150E-2,5.121163130E-1,-5.034637172E-3
1.133760358E2,4.076163471E-2,5.117644668E-1,-6.405529100E-3
1.133959268E2,4.023260251E-2,5.139941573E-1,-9.495894425E-3
1.134158178E2,3.944768757E-2,5.098344684E-1,-1.085364446E-2
1.134357078E2,4.484324157E-2,4.981398284E-1,-1.242550462E-2
1.134555988E2,4.280464351E-2,4.915816188E-1,-1.496433001E-2
1.134754898E2,4.006925225E-2,4.798453152E-1,-1.587316580E-2
1.134953798E2,4.140980169E-2,4.609455466E-1,-1.696392894E-2
1.135152708E2,3.896444663E-2,4.453265071E-1,-1.713507250E-2
1.135351618E2,3.483752534E-2,4.266386628E-1,-1.934622787E-2
1.135550528E2,3.523318842E-2,4.010039568E-1,-1.922399178E-2
1.135749428E2,3.298284858E-2,3.748808205E-1,-1.853606105E-2
1.135948338E2,2.977361903E-2,3.494990468E-1,-2.069825120E-2
1.136147248E2,3.153414652E-2,3.205738068E-1,-2.026329003E-2
1.136346148E2,2.964018844E-2,2.857528031E-1,-1.660883240E-2
1.136545058E2,2.626561187E-2,2.568508685E-1,-1.729965769E-2
1.136743968E2,2.353165671E-2,2.233614326E-1,-1.591444761E-2
1.136942868E2,2.071305737E-2,1.864140779E-1,-1.417021081E-2
1.137141778E2,1.618393511E-2,1.505885124E-1,-1.233286038E-2
1.137340688E2,1.567500830E-2,1.158346906E-1,-1.055846177E-2
1.137539588E2,1.551922783E-2,7.764639705E-2,-9.166963398E-3
1.137738498E2,1.149563026E-2,3.940828517E-2,-5.918237846E-3
1.137937408E2,8.242392913E-3,2.954213414E-3,-2.135416493E-3
1.138136308E2,5.305826664E-3,-3.433674201E-2,-2.154926769E-3
1.138335218E2,1.997034764E-3,-7.438410074E-2,1.932154992E-3
1.138534128E2,-1.068287529E-4,-1.107028350E-1,4.567658529E-3
1.138733028E2,-1.157497172E-3,-1.490892172E-1,5.926438142E-3
1.138931938E2,-5.401189905E-3,-1.856285781E-1,9.394303896E-3
1.139130848E2,-7.469350006E-3,-2.208610177E-1,1.047417894E-2
1.139329748E2,-1.026782207E-2,-2.530521452E-1,1.171748154E-2
1.139528658E2,-1.258618664E-2,-2.881509662E-1,1.487812120E-2
1.139727568E2,-1.582622901E-2,-3.180973232E-1,1.666919701E-2
1.139926468E2,-1.950521767E-2,-3.439849019E-1,1.899360307E-2
1.140125378E2,-2.000260167E-2,-3.726198375E-1,2.104244009E-2
1.140324288E2,-2.347530425E-2,-3.998821974E-1,2.157037333E-2
1.140523188E2,-2.606283873E-2,-4.208325148E-1,2.063760348E-2
1.140722098E2,-2.756788209E-2,-4.419961572E-1,2.165000513E-2
1.140921008E2,-2.937475406E-2,-4.623459280E-1,2.349451371E-2
1.141119908E2,-3.220435977E-2,-4.771159589E-1,2.281347662E-2
1.141318818E2,-3.260405362E-2,-4.883389771E-1,2.343675494E-2
1.141517728E2,-3.361885622E-2,-5.013485551E-1,2.238750271E-2
1.141716628E2,-3.679613397E-2,-5.080414414E-1,2.250990644E-2
1.141915538E2,-3.708704561E-2,-5.105220675E-1,2.155669592E-2
1.142114451E2,-3.617757931E-2,-5.126852393E-1,1.972930320E-2
1.142313351E2,-3.717311472E-2,-5.108813047E-1,1.810121164E-2
1.142512261E2,-3.860674053E-2,-5.058055520E-1,1.759304665E-2
1.142711171E2,-3.789838403E-2,-4.985388517E-1,1.519636903E-2
1.142910071E2,-3.789495677E-2,-4.926738143E-1,1.344084647E-2
1.143108981E2,-3.981781006E-2,-4.787833691E-1,1.126907207E-2
1.143307891E2,-3.867194057E-2,-4.629824758E-1,9.718646295E-3
1.143506791E2,-3.635344654E-2,-4.495732784E-1,5.000889301E-3
1.143705701E2,-3.403742611E-2,-4.292674065E-1,5.870112218E-3
1.143904611E2,-3.509042785E-2,-4.023040235E-1,2.812602790E-3
1.144103511E2,-3.018266149E-2,-3.813574314E-1,2.204469638E-3
1.144302421E2,-2.750025876E-2,-3.561382294E-1,1.448664116E-3
1.144501331E2,-2.915035002E-2,-3.228224814E-1,-3.575574374E-4
1.144700231E2,-2.504050732E-2,-2.940277457E-1,-1.780516817E-3
1.144899141E2,-2.030705661E-2,-2.635458410E-1,-4.909432027E-3
1.145098051E2,-2.262657881E-2,-2.286855727E-1,-2.659460064E-3
1.145296951E2,-1.779426821E-2,-1.952435672E-1,-5.300316960E-3
1.145495861E2,-1.540402602E-2,-1.604855657E-1,-5.682848394E-3
1.145694771E2,-1.242080890E-2,-1.218337938E-1,-6.521376316E-3
1.145893671E2,-9.237905964E-3,-8.451849222E-2,-6.859469227E-3
1.146092581E2,-6.397668272E-3,-4.841195792E-2,-7.103310898E-3
1.146291491E2,-5.937681533E-3,-9.244687855E-3,-9.067561477E-3
1.146490391E2,-1.277602045E-3,3.072038107E-2,-7.610477507E-3
1.146689301E2,4.600347951E-3,6.708170474E-2,-9.019088931E-3
1.146888201E2,4.993951879E-3,1.067279801E-1,-8.549374528E-3
1.147087111E2,7.323597558E-3,1.428536326E-1,-9.528018534E-3
1.147286021E2,1.166218892E-2,1.789607853E-1,-9.355215356E-3
1.147484931E2,1.366414223E-2,2.144252956E-1,-8.741187863E-3
1.147683831E2,1.629197970E-2,2.506005168E-1,-9.662841447E-3
1.147882741E2,1.984729618E-2,2.813872993E-1,-8.954906836E-3
1.148081641E2,2.071343735E-2,3.116940558E-1,-9.422557428E-3
1.148280551E2,2.277988568E-2,3.428054452E-1,-8.153561503E-3
1.148479461E2,2.549350262E-2,3.708776832E-1,-6.877474487E-3
1.148678361E2,2.801294811E-2,3.930047452E-1,-5.746629555E-3
1.148877271E2,2.969095856E-2,4.170773625E-1,-8.537122980E-3
1.149076181E2,3.205317631E-2,4.373273551E-1,-8.334389888E-3
1.149275081E2,3.518359736E-2,4.550754130E-1,-7.170155644E-3
1.149473991E2,3.396689892E-2,4.719708562E-1,-6.639655679E-3
1.149672901E2,3.792172670E-2,4.845131338E-1,-7.304611616E-3
1.149871801E2,3.787245601E-2,4.965338409E-1,-7.545361295E-3
1.150070711E2,3.801565245E-2,5.038393736E-1,-6.697478704E-3
